,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
353133,tt0368709,movie,Elizabethtown,Elizabethtown,0,2005,\N,123,"Comedy,Drama,Romance"
353215,tt0368794,movie,I'm Not There,I'm Not There,0,2007,\N,135,"Biography,Drama,Music"
353307,tt0368891,movie,National Treasure,National Treasure,0,2004,\N,131,"Action,Adventure,Mystery"
353324,tt0368909,movie,Ong-Bak: The Thai Warrior,Ong-Bak,0,2003,\N,105,"Action,Crime,Thriller"
353327,tt0368913,movie,Osama,Osama,0,2003,\N,83,Drama
353346,tt0368933,movie,The Princess Diaries 2: Royal Engagement,The Princess Diaries 2: Royal Engagement,0,2004,\N,113,"Comedy,Family,Romance"
353464,tt0369060,movie,Infernal Affairs II,Mou gaan dou II,0,2003,\N,119,"Action,Crime,Drama"
353627,tt0369226,movie,Alone in the Dark,Alone in the Dark,0,2005,\N,96,"Action,Horror,Sci-Fi"
353738,tt0369339,movie,Collateral,Collateral,0,2004,\N,120,"Action,Crime,Drama"
353757,tt0369359,movie,Dead Meat,Dead Meat,0,2004,\N,80,"Action,Comedy,Horror"
353829,tt0369436,movie,Four Christmases,Four Christmases,0,2008,\N,88,"Comedy,Drama,Romance"
353834,tt0369441,movie,Fun with Dick and Jane,Fun with Dick and Jane,0,2005,\N,90,"Comedy,Crime"
353999,tt0369610,movie,Jurassic World,Jurassic World,0,2015,\N,124,"Action,Adventure,Sci-Fi"
354055,tt0369672,movie,A Love Song for Bobby Long,A Love Song for Bobby Long,0,2004,\N,119,Drama
354084,tt0369702,movie,The Sea Inside,Mar adentro,0,2004,\N,126,"Biography,Drama"
354117,tt0369735,movie,Monster-in-Law,Monster-in-Law,0,2005,\N,101,"Comedy,Romance"
354363,tt0369994,movie,Strangers with Candy,Strangers with Candy,0,2005,\N,97,Comedy
354395,tt0370032,movie,Ultraviolet,Ultraviolet,0,2006,\N,88,"Action,Sci-Fi"
354616,tt0370263,movie,Alien vs. Predator,AVP: Alien vs. Predator,0,2004,\N,101,"Action,Adventure,Horror"
355099,tt0370754,short,Voices of a Distant Star,Hoshi no koe,0,2002,\N,25,"Animation,Drama,Romance"
355324,tt0370986,movie,Mysterious Skin,Mysterious Skin,0,2004,\N,105,Drama
355578,tt0371246,movie,Spanglish,Spanglish,0,2004,\N,131,"Comedy,Drama,Romance"
355589,tt0371257,movie,Stay,Stay,0,2005,\N,99,"Drama,Mystery,Thriller"
355612,tt0371280,movie,Crimson Gold,Talaye sorkh,0,2003,\N,95,"Crime,Drama,Thriller"
355876,tt0371552,movie,Asterix and the Vikings,Astérix et les Vikings,0,2006,\N,78,"Adventure,Animation,Comedy"
355928,tt0371606,movie,Chicken Little,Chicken Little,0,2005,\N,81,"Adventure,Animation,Comedy"
356038,tt0371724,movie,The Hitchhiker's Guide to the Galaxy,The Hitchhiker's Guide to the Galaxy,0,2005,\N,109,"Adventure,Comedy,Sci-Fi"
356060,tt0371746,movie,Iron Man,Iron Man,0,2008,\N,126,"Action,Adventure,Sci-Fi"
356479,tt0372183,movie,The Bourne Supremacy,The Bourne Supremacy,0,2004,\N,108,"Action,Thriller"
356533,tt0372237,movie,Guess Who,Guess Who,0,2005,\N,105,"Comedy,Romance"
356819,tt0372532,movie,The Wedding Date,The Wedding Date,0,2005,\N,90,"Comedy,Romance"
356871,tt0372588,movie,Team America: World Police,Team America: World Police,0,2004,\N,98,"Action,Comedy"
357056,tt0372784,movie,Batman Begins,Batman Begins,0,2005,\N,140,"Action,Drama"
357095,tt0372824,movie,The Chorus,Les choristes,0,2004,\N,97,"Drama,Music"
357286,tt0373024,movie,Imaginary Heroes,Imaginary Heroes,0,2004,\N,111,Drama
357313,tt0373051,movie,Journey to the Center of the Earth,Journey to the Center of the Earth,0,2008,\N,93,"Action,Adventure,Family"
357336,tt0373074,movie,Kung Fu Hustle,Kung Fu Hustle,0,2004,\N,99,"Action,Comedy,Fantasy"
357434,tt0373175,movie,My Architect,My Architect,0,2003,\N,116,"Biography,Documentary"
357541,tt0373283,movie,Saints and Soldiers,Saints and Soldiers,0,2003,\N,90,"Action,Drama,War"
357718,tt0373469,movie,Kiss Kiss Bang Bang,Kiss Kiss Bang Bang,0,2005,\N,103,"Comedy,Crime,Mystery"
358098,tt0373861,movie,The Story of the Weeping Camel,Die Geschichte vom weinenden Kamel,0,2003,\N,93,"Documentary,Drama,Family"
358118,tt0373883,movie,Halloween,Halloween,0,2007,\N,109,Horror
358124,tt0373889,movie,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,0,2007,\N,138,"Action,Adventure,Family"
358159,tt0373926,movie,The Interpreter,The Interpreter,0,2005,\N,128,"Crime,Mystery,Thriller"
358214,tt0373981,movie,Control,Kontroll,0,2003,\N,111,"Comedy,Crime,Drama"
358329,tt0374102,movie,Open Water,Open Water,0,2003,\N,79,"Adventure,Drama,Horror"
358496,tt0374277,movie,Touch of Pink,Touch of Pink,0,2004,\N,91,"Comedy,Drama,Romance"
